time,x,y,z
0.0,0.0,464.0,69.0
0.0,2.0,464.0,69.0
0.0,9.0,464.0,69.0
0.0,14.0,464.0,69.0
0.0,17.0,464.0,69.0
0.0,18.0,464.0,69.0
0.0,19.0,464.0,69.0
0.0,21.0,464.0,69.0
0.0,22.0,464.0,69.0
0.0,24.0,464.0,69.0
0.0,26.0,464.0,69.0
0.0,27.0,464.0,69.0
0.0,29.0,464.0,69.0
0.0,33.0,464.0,69.0
0.0,34.0,464.0,69.0
0.0,35.0,464.0,69.0
0.0,37.0,464.0,69.0
0.0,38.0,464.0,69.0
0.0,39.0,464.0,69.0
0.0,40.0,464.0,69.0
0.0,42.0,464.0,69.0
0.0,43.0,464.0,69.0
0.0,44.0,464.0,69.0
0.0,45.0,464.0,69.0
0.0,49.0,464.0,69.0
0.0,50.0,464.0,69.0
0.0,51.0,464.0,69.0
0.0,52.0,464.0,69.0
0.0,53.0,464.0,69.0
0.0,54.0,464.0,69.0
0.0,56.0,464.0,69.0
0.0,57.0,464.0,69.0
0.0,58.0,464.0,69.0
0.0,59.0,464.0,69.0
0.0,60.0,464.0,69.0
0.0,61.0,464.0,69.0
0.0,64.0,464.0,69.0
0.0,65.0,464.0,69.0
0.0,67.0,464.0,69.0
0.0,68.0,464.0,69.0
0.0,69.0,464.0,69.0
0.0,70.0,464.0,69.0
0.0,71.0,464.0,69.0
0.0,72.0,464.0,69.0
0.0,73.0,464.0,69.0
0.0,75.0,464.0,69.0
0.0,76.0,464.0,69.0
0.0,77.0,464.0,69.0
0.0,80.0,464.0,69.0
0.0,81.0,464.0,69.0
0.0,82.0,464.0,69.0
0.0,83.0,464.0,69.0
0.0,84.0,464.0,69.0
0.0,85.0,464.0,69.0
0.0,86.0,464.0,69.0
0.0,88.0,464.0,69.0
0.0,89.0,464.0,69.0
0.0,90.0,464.0,69.0
0.0,91.0,464.0,69.0
0.0,92.0,464.0,69.0
0.0,95.0,464.0,69.0
0.0,96.0,464.0,69.0
0.0,97.0,464.0,69.0
0.0,98.0,464.0,69.0
0.0,99.0,464.0,69.0
1.0,0.0,464.0,69.0
1.0,1.0,464.0,69.0
1.0,2.0,464.0,69.0
1.0,3.0,464.0,69.0
1.0,4.0,464.0,69.0
1.0,6.0,464.0,69.0
1.0,7.0,464.0,69.0
1.0,8.0,464.0,69.0
1.0,11.0,464.0,69.0
1.0,12.0,464.0,69.0
1.0,13.0,464.0,69.0
1.0,14.0,464.0,69.0
1.0,15.0,464.0,69.0
1.0,16.0,464.0,69.0
1.0,17.0,464.0,69.0
1.0,18.0,464.0,69.0
1.0,19.0,464.0,69.0
1.0,21.0,464.0,69.0
1.0,22.0,464.0,69.0
1.0,23.0,464.0,69.0
1.0,26.0,464.0,69.0
1.0,27.0,464.0,69.0
1.0,28.0,464.0,69.0
1.0,29.0,464.0,69.0
1.0,30.0,464.0,69.0
1.0,31.0,464.0,69.0
1.0,32.0,464.0,69.0
1.0,33.0,464.0,69.0
1.0,34.0,464.0,69.0
1.0,35.0,464.0,69.0
1.0,36.0,464.0,69.0
1.0,37.0,464.0,69.0
1.0,38.0,464.0,69.0
1.0,41.0,464.0,69.0
1.0,42.0,464.0,69.0
1.0,43.0,464.0,69.0
1.0,44.0,464.0,69.0
1.0,45.0,464.0,69.0
1.0,46.0,464.0,69.0
1.0,47.0,464.0,69.0
1.0,48.0,464.0,69.0
1.0,49.0,464.0,69.0
1.0,50.0,464.0,69.0
1.0,51.0,464.0,69.0
1.0,52.0,464.0,69.0
1.0,52.0,464.0,69.0
1.0,54.0,464.0,69.0
1.0,56.0,464.0,69.0
1.0,57.0,464.0,69.0
1.0,58.0,464.0,69.0
1.0,59.0,464.0,69.0
1.0,60.0,464.0,69.0
1.0,61.0,464.0,69.0
1.0,62.0,464.0,69.0
1.0,62.0,464.0,69.0
1.0,63.0,464.0,69.0
1.0,64.0,464.0,69.0
1.0,65.0,464.0,69.0
1.0,66.0,464.0,69.0
1.0,67.0,464.0,69.0
1.0,68.0,464.0,69.0
1.0,69.0,464.0,69.0
1.0,71.0,464.0,69.0
1.0,72.0,464.0,69.0
1.0,73.0,464.0,69.0
1.0,74.0,464.0,69.0
1.0,75.0,464.0,69.0
1.0,76.0,464.0,69.0
1.0,77.0,464.0,69.0
1.0,78.0,464.0,69.0
1.0,79.0,464.0,69.0
1.0,79.0,464.0,69.0
1.0,80.0,464.0,69.0
1.0,81.0,464.0,69.0
1.0,82.0,464.0,69.0
1.0,83.0,464.0,69.0
1.0,84.0,464.0,69.0
1.0,86.0,464.0,69.0
1.0,87.0,464.0,69.0
1.0,88.0,464.0,69.0
1.0,89.0,464.0,69.0
1.0,90.0,464.0,69.0
1.0,91.0,464.0,69.0
1.0,92.0,464.0,69.0
1.0,93.0,464.0,69.0
1.0,94.0,464.0,69.0
1.0,95.0,464.0,69.0
1.0,95.0,464.0,69.0
1.0,96.0,464.0,69.0
1.0,97.0,464.0,69.0
1.0,98.0,464.0,69.0
1.0,99.0,464.0,69.0
2.0,2.0,464.0,69.0
2.0,2.0,464.0,69.0
2.0,3.0,464.0,69.0
2.0,4.0,464.0,69.0
2.0,5.0,464.0,69.0
2.0,6.0,464.0,69.0
2.0,7.0,464.0,69.0
2.0,8.0,464.0,69.0
2.0,9.0,464.0,69.0
2.0,10.0,464.0,69.0
2.0,11.0,464.0,69.0
2.0,12.0,464.0,69.0
2.0,12.0,464.0,69.0
2.0,13.0,464.0,69.0
2.0,14.0,464.0,69.0
2.0,17.0,464.0,69.0
2.0,18.0,464.0,69.0
2.0,19.0,464.0,69.0
2.0,19.0,464.0,69.0
2.0,20.0,464.0,69.0
2.0,21.0,464.0,69.0
2.0,22.0,464.0,69.0
2.0,23.0,464.0,69.0
2.0,24.0,464.0,69.0
2.0,25.0,464.0,69.0
2.0,26.0,464.0,69.0
2.0,27.0,464.0,69.0
2.0,28.0,464.0,69.0
2.0,28.0,464.0,69.0
2.0,29.0,464.0,69.0
2.0,32.0,464.0,69.0
2.0,33.0,464.0,69.0
2.0,34.0,464.0,69.0
2.0,35.0,464.0,69.0
2.0,35.0,464.0,69.0
2.0,36.0,464.0,69.0
2.0,37.0,464.0,69.0
2.0,38.0,464.0,69.0
2.0,39.0,464.0,69.0
2.0,40.0,464.0,69.0
2.0,41.0,464.0,69.0
2.0,42.0,464.0,69.0
2.0,43.0,464.0,69.0
2.0,44.0,464.0,69.0
2.0,46.0,464.0,69.0
2.0,50.0,464.0,679.0
2.0,50.0,464.0,6491.0
2.0,51.0,464.0,6409.0
2.0,52.0,464.0,6298.0
2.0,53.0,464.0,6187.0
2.0,54.0,464.0,6053.0
2.0,55.0,464.0,5917.0
2.0,56.0,464.0,5759.0
2.0,57.0,464.0,5594.0
2.0,58.0,464.0,5414.0
2.0,59.0,464.0,5228.0
2.0,60.0,464.0,5021.0
2.0,60.0,464.0,4802.0
2.0,61.0,464.0,4567.0
2.0,64.0,464.0,4307.0
2.0,65.0,464.0,3486.0
2.0,66.0,464.0,3213.0
2.0,67.0,464.0,291.0
2.0,68.0,464.0,2586.0
2.0,69.0,464.0,2231.0
2.0,70.0,464.0,1907.0
2.0,70.0,464.0,1539.0
2.0,71.0,464.0,1187.0
2.0,72.0,464.0,785.0
2.0,73.0,464.0,402.0
2.0,74.0,463.0,9999.0
2.0,75.0,463.0,9581.0
2.0,76.0,463.0,9135.0
2.0,77.0,463.0,8693.0
2.0,80.0,463.0,8226.0
2.0,80.0,463.0,6928.0
2.0,81.0,463.0,6544.0
2.0,82.0,463.0,6081.0
2.0,83.0,463.0,5642.0
2.0,84.0,463.0,5146.0
2.0,85.0,463.0,4696.0
2.0,89.0,463.0,4225.0
2.0,91.0,463.0,2423.0
2.0,92.0,463.0,1344.0
2.0,95.0,463.0,725.0
2.0,97.0,462.0,9112.0
2.0,98.0,462.0,8302.0
2.0,99.0,462.0,788.0
3.0,0.0,462.0,7303.0
3.0,1.0,462.0,6842.0
3.0,2.0,462.0,636.0
3.0,3.0,462.0,5898.0
3.0,4.0,462.0,5323.0
3.0,5.0,462.0,4892.0
3.0,6.0,462.0,4349.0
3.0,7.0,462.0,3839.0
3.0,7.0,462.0,3423.0
3.0,10.0,462.0,2953.0
3.0,11.0,462.0,1525.0
3.0,12.0,462.0,985.0
3.0,13.0,462.0,577.0
3.0,14.0,462.0,95.0
3.0,15.0,461.0,9659.0
3.0,16.0,461.0,9107.0
3.0,17.0,461.0,8676.0
3.0,18.0,461.0,8228.0
3.0,19.0,461.0,7667.0
3.0,20.0,461.0,7241.0
3.0,21.0,461.0,6763.0
3.0,22.0,461.0,6244.0
3.0,23.0,461.0,5769.0
3.0,26.0,461.0,5216.0
3.0,28.0,461.0,3607.0
3.0,29.0,461.0,2895.0
3.0,30.0,461.0,2415.0
3.0,31.0,461.0,1883.0
3.0,32.0,461.0,1414.0
3.0,33.0,461.0,746.0
3.0,34.0,461.0,276.0
3.0,35.0,460.0,973.0
3.0,36.0,460.0,9025.0
3.0,37.0,460.0,85.0
3.0,39.0,460.0,8057.0
3.0,42.0,460.0,7411.0
3.0,42.0,460.0,593.0
3.0,43.0,460.0,5487.0
3.0,45.0,460.0,4944.0
3.0,46.0,460.0,4183.0
3.0,47.0,460.0,3715.0
3.0,48.0,460.0,3192.0
3.0,49.0,460.0,2596.0
3.0,50.0,460.0,2081.0
3.0,51.0,460.0,1563.0
3.0,52.0,460.0,943.0
3.0,54.0,460.0,48.0
3.0,56.0,459.0,9843.0
3.0,57.0,459.0,8476.0
3.0,59.0,459.0,8066.0
3.0,60.0,459.0,738.0
3.0,61.0,459.0,6896.0
3.0,62.0,459.0,6342.0
3.0,63.0,459.0,5677.0
3.0,64.0,459.0,5128.0
3.0,65.0,459.0,4643.0
3.0,66.0,459.0,4014.0
3.0,68.0,459.0,3504.0
3.0,69.0,459.0,2846.0
3.0,70.0,459.0,2399.0
3.0,73.0,459.0,1853.0
3.0,74.0,459.0,259.0
3.0,75.0,458.0,9691.0
3.0,76.0,458.0,9171.0
3.0,77.0,458.0,8616.0
3.0,78.0,458.0,8046.0
3.0,79.0,458.0,7586.0
3.0,80.0,458.0,7025.0
3.0,81.0,458.0,6442.0
3.0,83.0,458.0,5953.0
3.0,84.0,458.0,5369.0
3.0,85.0,458.0,4899.0
3.0,88.0,458.0,424.0
3.0,89.0,458.0,2818.0
3.0,90.0,458.0,2316.0
3.0,91.0,458.0,1866.0
3.0,92.0,458.0,1137.0
3.0,93.0,458.0,652.0
3.0,94.0,458.0,126.0
3.0,96.0,457.0,9498.0
3.0,97.0,457.0,8915.0
3.0,98.0,457.0,8398.0
3.0,99.0,457.0,7845.0
4.0,0.0,457.0,7302.0
4.0,3.0,457.0,6571.0
4.0,4.0,457.0,5341.0
4.0,5.0,457.0,5005.0
4.0,6.0,457.0,4547.0
4.0,7.0,457.0,4115.0
4.0,8.0,457.0,3713.0
4.0,10.0,457.0,33.0
4.0,11.0,457.0,292.0
4.0,12.0,457.0,2569.0
